"reference_","Sample_1","Sample_2","Sample_3","Sample_4","Sample_5","Sample_6","Sample_7","Sample_8","Sample_9"
"GCF_900450455",4280,5424,5054,4324,4904,6421,5460,6196,5401
"GCF_001457475",99205,115362,133922,121284,130009,113221,132372,118392,131736
"GCF_000016265",82937,86744,87946,85087,83519,91630,98367,69896,101845
"GCF_000231275",80232,85198,80875,72138,82546,95169,97342,74114,101759
"GCF_000183485",16892839,17254067,15674783,18035133,18949429,15841985,18744211,16982404,16496624
"GCF_000154565",91773,88488,86445,86165,96100,105692,97698,104409,91895
"GCF_001315015",95331,120814,147706,116021,140332,126846,142820,124143,121863
"GCF_000009925",2483,2134,2211,2359,2203,2231,2044,2206,2373
"GCF_000162175",9052,7849,10480,8789,9447,10741,8944,9111,7852
"GCF_003438145",1227,1431,973,1291,1199,1177,1476,1483,1346
"GCF_000154205",13257,15795,17974,13819,13005,16700,16225,11764,15320
"GCF_006546965",4560,3818,5201,4549,3773,4289,4631,3581,2961
"GCF_001688645",198681,218655,224663,177039,213728,253494,238217,213006,190426
"GCF_000701705",26444,25412,33695,29871,28316,29342,31646,26302,31922
"GCF_000157975",2094,2214,2385,2260,2258,2337,2424,2248,2214
"GCF_000209895",21379,24880,23324,20751,22075,28848,23290,27797,26482
"GCF_000170675",41350,45629,48376,40186,40561,49851,50235,46160,44818
"GCF_000235505",54815,45960,66923,50359,54649,57808,59243,62666,65697
"GCF_000156515",1383,1357,1186,1094,1218,1481,1392,1444,1407
"GCF_000178835",9314,7802,8420,7287,7915,10378,9311,7303,8283
"GCF_000154345",80988,70993,84311,74883,75531,87986,76528,75001,74074
"GCF_000158655",54,33,41,28,56,57,54,36,55
"GCF_000018685",8990,8275,12216,9705,10239,9831,9116,9225,10073
"GCF_000154505",3090,3282,3204,3375,3087,3474,4049,3717,3826
"GCF_000233515",469,754,648,538,510,623,473,635,558
"GCF_000190355",5327,5697,6143,7031,5803,6426,6143,5700,5280
"GCF_000189595",29067,25522,27747,22832,26089,25147,31580,34166,30390
"GCF_000224635",451103,507524,530460,555815,368286,525043,476753,510762,592194
"GCF_000024265",157494,140861,169857,128916,123288,158190,141120,156273,161098
"GCF_000270285",207321,162540,190592,148349,142160,215815,189398,169918,154998
"GCF_000156655",829543,720513,969126,812042,764165,953277,797473,838962,871446
"GCF_000382085",6653,7121,8128,6965,6826,6039,7417,6480,7748
"GCF_001688625",85210,75914,83261,72128,83568,108248,96750,94274,89052
"GCF_000158455",9747,8730,7694,12963,10099,9554,9406,9384,9492
"GCF_000218385",20408,24810,24992,26885,21743,24265,27472,21887,28199
"GCF_000218405",861467,740469,755971,765554,822169,871621,781749,852583,746061
"GCF_000242155",142802,180684,202378,162249,165537,207035,206571,204654,199347
"GCF_001434535",9566,10011,11725,9334,11102,10077,11914,11716,8852
"GCF_000213255",7628,7656,9367,7575,8108,7670,8198,7624,7417
"GCF_000173815",13873,17086,15001,16253,16202,15929,16478,17080,17191
"GCF_000226315",4882,4872,6391,5869,4800,6192,5797,5090,4831
"GCF_000243215",65388,55682,68185,61320,55789,68613,58231,50651,58196
"GCF_000190535",340549,366127,457248,393226,342968,412955,410257,357048,433636
"GCF_000233535",3478,4567,4098,3796,3463,3629,3391,4048,4310
"GCF_000283575",2409546,2374278,2107894,2122655,2102162,2688859,2382920,2432224,2365503
"GCF_900445495",56569,71402,76264,71177,60367,69830,66727,64143,74813
"GCF_000205025",5603,5168,4906,4722,4407,4527,5442,4577,4901
"GCF_000025925",152242,157462,167070,175267,159948,176135,164897,174919,156065
"GCF_000234115",214578,188707,282627,257151,224244,258040,242585,232020,231355
"GCF_000169255",1357390,1605601,1649777,1647553,1596312,1859353,1760507,1601465,1584817
"GCF_000006765",57405,67873,69344,60935,56495,82884,70108,65101,74726
"GCF_000156535",13341,14731,17397,17237,12108,19137,17831,15914,16116
"GCF_000177015",1329917,1446659,1243368,1291041,1162771,1336711,1367991,1529090,1455614
"GCF_000179635",9977,10023,11745,8290,8924,11671,11941,10345,8982
"GCF_000210095",5033,5209,6230,5135,5165,5622,5760,6510,5745
"GCF_000238635",120057,103958,118599,108494,89741,112846,93232,97692,103151
"GCF_000238695",10227647,9677211,10970491,9079944,8595620,9824086,7703431,9461499,9984702
